2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  27,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4956.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  26,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4955.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  25,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4954.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  24,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4953.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  23,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4952.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  22,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4951.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   0.0; Angle:   WEST; Position:  22,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4951.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  23,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4950.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  24,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4949.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  25,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4948.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  26,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4947.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  27,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4946.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  28,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4945.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  29,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4944.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  29,0; Parcels:      0; Health: 1025.0; Health Usage: 1025.0; Fuel: 4943.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  30,0; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4942.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  31,0; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4941.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  32,0; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4940.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  33,0; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4939.0; Tile: FINISH
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  34,0; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4938.0; Tile: FINISH
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  35,0; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4937.0; Tile: FINISH
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  35,1; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4936.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  35,2; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4935.0; Tile: ROAD
2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  35,3; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4934.0; Tile: ROAD
